,Product,Price,Ratings,Warranty,No of Ratings,No of Reviews,Features
0,"APPLE iPhone XR ((PRODUCT)RED, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,649"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
1,"APPLE iPhone XR (White, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,649"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
2,"APPLE iPhone XR (Yellow, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,649"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
3,"APPLE iPhone XR (Black, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,649"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
4,"APPLE iPhone XR ((PRODUCT)RED, 64 GB)","₹39,999",4.6,Brand Warranty of 1 Year,"99,649"," 8,546","64 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
5,"APPLE iPhone XR (Blue, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,649"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera"
6,"Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)","₹39,999",4.6,Brand Warranty of 1 Year,"99,649"," 8,546","64 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor"
7,"APPLE iPhone XR (Black, 64 GB)","₹39,999",4.6,Brand Warranty of 1 Year,"99,649"," 8,546","64 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
8,"Apple iPhone XR (Blue, 128 GB) (Includes EarPods, Power Adapter)","₹44,999",4.6,Brand Warranty of 1 Year,"99,649"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor"
9,"Apple iPhone XR ((PRODUCT)RED, 128 GB) (Includes EarPods, Power Adapter)","₹44,999",4.6,Brand Warranty of 1 Year,"99,649"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor"
10,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","₹39,999",4.6,Brand Warranty of 1 Year,"99,649"," 8,546","64 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor"
11,"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)","₹44,999",4.6,Brand Warranty of 1 Year,"99,649"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor"
